Story ID,Epic,Summary,User Story,Why,Acceptance Criteria,Requirement Ref,Phase,Priority,Owner,Target Week,Week Starting,Sprint,Days,Depends On,Status
BNPL-001,E01,Provision the DigitalOcean App Platform environment,"As a developer, I want the backend and frontend deployed as components of one App Platform application, so that requests stay same-origin and there is one place to configure the deployment.",Requests stay same-origin and there is one place to configure the deployment,"1. Given a push to the staging branch, when CI passes, then the app builds and deploys automatically | 2. Given the frontend and backend are separate components, when a browser calls the API, then no CORS preflight is required | 3. Environment variables are set per environment and no secret appears in the repository",7.1.1,P0,P0,D,1,2026-08-31,Sprint 1,1.0,,To Do
BNPL-002,E01,Provision Managed PostgreSQL with connection pooling,"As a developer, I want a managed database with a transaction-mode connection pool, so that the application does not exhaust the connection limit and RLS context works correctly.",The application does not exhaust the connection limit and RLS context works correctly,"1. Prisma connects through the DigitalOcean connection pool | 2. Given the pool is in transaction mode, when set_config is called with the transaction-local flag, then the tenant context persists for that transaction only | 3. Point-in-time recovery is enabled and confirmed in the control panel",7.1.1,P0,P0,D,1,2026-08-31,Sprint 1,0.5,BNPL-001,To Do
BNPL-003,E01,Create separate public and private Spaces buckets,"As a compliance owner, I want listing images public and identity documents private, so that a customer identity document is never reachable from a guessable URL.",A customer identity document is never reachable from a guessable URL,"1. Listing images are served from a public bucket via CDN | 2. Given an identity document is uploaded, when its URL is requested without a signature, then access is denied | 3. Given a verified staff member requests a document, when the API responds, then it returns a presigned URL expiring in 15 minutes",FR-COMP-002 / NFR-SEC-007,P0,P0,D,1,2026-08-31,Sprint 1,0.5,BNPL-001,To Do
BNPL-004,E01,Set up the CI pipeline with a real PostgreSQL service,"As a developer, I want lint, unit and integration tests to run on every pull request against a real database, so that database-level guarantees such as constraints and RLS are actually exercised.",Database-level guarantees such as constraints and RLS are actually exercised,"1. Given a pull request is opened, when CI runs, then lint, unit and integration tests all execute | 2. Integration tests connect as the application role, never as a database superuser | 3. Given any test fails, when the pull request is reviewed, then merging is blocked",NFR-MAIN-003,P0,P0,D,1,2026-08-31,Sprint 1,1.0,BNPL-002,To Do
BNPL-005,E01,Publish the API contract,"As a frontend developer, I want an agreed OpenAPI definition of the core endpoints, so that I can build screens against a contract instead of waiting for the backend to finish.",I can build screens against a contract instead of waiting for the backend to finish,"1. Core booking, listing, payment, auth and operator endpoints are defined with request and response shapes | 2. The unified error shape from 6.6.2 is defined once and referenced by every endpoint | 3. The contract is published to the team repository before Phase 1 work begins",NFR-MAIN-002,P0,P0,A,2,2026-09-07,Sprint 1,2.0,,To Do
BNPL-006,E01,Create the module skeleton and dependency lint rule,"As a developer, I want folders that reflect module ownership and a lint rule that enforces the boundary, so that cross-module table access is caught by the build rather than by review.",Cross-module table access is caught by the build rather than by review,"1. Each of the twelve modules has its own folder with route, service and data-access layers | 2. Given a module imports the raw Prisma client outside the allowlist, when CI runs, then the build fails | 3. Given a module queries a table it does not own, when the conformance script runs, then the build fails",6.2 / FR-ARCH-003,P0,P0,A,2,2026-09-07,Sprint 1,1.0,BNPL-004,To Do
BNPL-007,E01,Build the tenant-aware database client,"As a developer, I want a wrapped client exposing withOperatorContext only, so that the tenant context can never be forgotten on a tenant-scoped query.",The tenant context can never be forgotten on a tenant-scoped query,"1. withOperatorContext opens a transaction, sets the tenant context and commits | 2. Given a query runs with no tenant context, when RLS policies are active, then zero rows are returned rather than all rows | 3. The raw client is not exported from the shared database module",FR-SEC-002 / FR-ARCH-003,P0,P0,A,3,2026-09-14,Sprint 2,1.0,BNPL-006,To Do
BNPL-008,E01,Implement the job queue and worker,"As a developer, I want a Postgres-backed job queue with lease-based claiming, so that background work survives restarts and is never silently lost.",Background work survives restarts and is never silently lost,"1. Jobs are claimed with FOR UPDATE SKIP LOCKED and a five-minute lease | 2. Given the worker is killed mid-job, when the lease expires, then the job is reclaimed and completed exactly once | 3. Given a job fails five times, when it exhausts retries, then it moves to failed and appears in the admin queue | 4. The worker runs from its own entry point in the same codebase",FR-ARCH-001,P0,P0,A,3,2026-09-14,Sprint 2,1.5,BNPL-006,To Do
BNPL-009,E01,Implement the feature flag mechanism,"As a product owner, I want features toggled per environment and per operator, so that incomplete work can be merged without appearing in a demonstration.",Incomplete work can be merged without appearing in a demonstration,"1. Flags are read from the database and cached in memory with a short refresh | 2. Given a flag is disabled, when a customer loads the page, then neither the API route nor the UI element is available | 3. Flags can be scoped to a single operator",FR-REL-004,P0,P0,B,1,2026-08-31,Sprint 1,2.0,BNPL-006,To Do
BNPL-010,E02,Author the V2.3 Prisma schema,"As a developer, I want the full schema with constraints, indexes and enums, so that integrity is enforced by the database rather than by application code.",Integrity is enforced by the database rather than by application code,1. All tables from Section 5.3 exist with the stated primary keys and constraints | 2. The composite foreign key from payments to payment_schedules is present | 3. The documents CHECK constraint permits exactly one owner | 4. listing_availability has its composite primary key and non-negative check,Section 5.3,P0,P0,A,1,2026-08-31,Sprint 1,3.0,BNPL-002,To Do
